State,Location,Blackout Date,Yellow Light Date
NY,Long Island,Every Thursday,
NY,,,
NY,,8/26/2015,
NY,,,
NY,,8/28/2015,
NY,Albany,9/17/2015,
NY,Rochester,9/9/2015,
NY,,,
NY,,9/10/2015,
NY,,,
NY,,9/17/2015,
NY,Warren,None,
NY,Canandaigua,None,
NY,Oneonta,None,
NY,Suffolk,None,
NY,Nassau,None,
NY,Westchester,None,
NY,Utica,None,
NY,Geneva,None,
NY,Corning,None,
NY,Hornell,None,
NY,Schenectady,None,
NY,New York City,Every Thursday is blacked out until the end of October,
NY,,,
NY,,8/26/2015,
NY,Syracuse,None,
NY,Poughkeepsie,None,
NY,Glens Falls,None,
NY,Johnstown,None,
NY,Hudson,None,
NY,Endicott,None,
NY,Ithaca,None,
NY,Steuben,None,
NY,Niagra Falls,None,
NY,Lockport,None,
NY,Batavia,None,
NY,Jamestown,None,
NY,Buffalo,,9/3/2015
NY,Bronx,Every Thursday is blacked out until the end of October,
NY,,,
NY,,8/26/2015,
NY,,,
NY,,8/28/2015,
NY,Queens,Every Thursday is blacked out until the end of October,
NY,,,
NY,,8/26/2015,
NY,,,
NY,,8/28/2015,
NY,Brooklyn,Every Thursday is blacked out until the end of October,
NY,,,
NY,,8/26/2015,
NY,,,
NY,,8/28/2015,
NY,Manhattan,Every Thursday is blacked out until the end of October,
NY,,,
NY,,8/26/2015,
NY,,,
NY,,8/28/2015,
NY,Staten Island,Every Thursday is blacked out until the end of October,
NY,,,
NY,,8/26/2015,
NY,,,
NY,,8/28/2015,
NY,White Plains,None,
NY,Scarsdale,None,
NY,Yonkers,None,
NY,Tarrytown,None,
NY,Ardsley,None,
NY,Hastings on Hudson,None,
NY,Dobbs Ferry,None,
NY,Mount Vernon,None,
NY,York Town Heights,None,
NY,Mt. Kisco,None,
NY,Rye,None,
NY,Eastchester,None,
NY,Mamaroneck,None,
NY,Larchmont,None,
NY,Port Chester,None,
NY,Chappaqua,None,
AL,Birmingham,None,
AL,Huntsville,None,
AL,Mobile,None,
AL,Montgomery,None,
AK,Entire State,,8/21/2015
AK,,,
AK,,,8/22/2015
AK,,,
AK,,,8/23/2015
AK,,,
AK,,,8/25/2015
AK,,,
AK,,,8/27/2015
AK,,,
AK,,,8/28/2015
AK,,,
AK,,,8/29/2015
AK,Anchorage,,All future dates until further notice
AK,,,
AK,,,8/24/2015
AK,,,
AK,,,8/26/2015
AK,,,
AK,,,8/30/2015
AK,,,
AK,,,8/31/2015
AK,Fairbanks,8/24/2015,
AK,,,
AK,,8/26/2015,
AK,,,
AK,,8/30/2015,
AK,,,
AK,,8/31/2015,
AZ,Entire State,None,8/21/2015
AZ,,,
AZ,,,8/24/2015
AZ,Tuscon,8/31/2015,8/22/2015
AZ,,,
AZ,,,8/23/2015
AZ,,,
AZ,,,8/26/2015
AZ,,,
AZ,,,8/27/2015
AZ,,,
AZ,,,8/28/2015
AZ,,,
AZ,,,8/29/2015
AZ,,,
AZ,,,8/30/2015
AZ,Phoenix,None,
CO,Entire State,None,
CO,Colorado Springs,,8/21/2015
CO,,,
CO,,,8/27/2015
CO,Denver,,8/25/2015
CO,,,
CO,,,8/27/2015
CO,,,
CO,,,8/30/2015
CO,,,
CO,,,8/31/2015
CO,Grand Junction,,8/23/2015
CO,,,
CO,,,8/24/2015
CO,,,
CO,,,8/25/2015
CO,,,
CO,,,8/26/2015
CO,,,
CO,,,8/27/2015
CO,,,
CO,,,8/28/2015
CO,,,
CO,,,8/29/2015
CO,,,
CO,,,8/30/2015
CO,,,
CO,,,8/31/2015
CO,Fort Collins,None,
CA,Alameda,8/24/2015,8/21/2015
CA,,,
CA,,8/25/2015,8/22/2015
CA,,,
CA,,8/26/2015,8/23/2015
CA,,,
CA,,8/27/2015,8/30/2015
CA,,,
CA,,8/28/2015,9/2/2015
CA,,,
CA,,8/30/2015,9/4/2015
CA,,,
CA,,8/31/2015,9/5/2015
CA,,,
