,Location,Blackout Date,Nearing Black Out-Check with SD before scheduling
NY,Long Island,Every Thursday,
NY,,,
NY,Albany,1-Jul-15,16-Jun-15
NY,,,
NY,Rochester,11-Jun-15,10-Jun-15
NY,,,
NY,,17-Jun-15,"June 17,2015"
NY,,,
NY,,,18-Jun-15
NY,Warren,,
NY,,,
NY,Corning,None,
NY,,,
NY,Hornell,None,
NY,,,
NY,Livingston,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,Schenectady,17-Jun-15,16-Jun-15
NY,,,
NY,New York City,17-Jun-15,
NY,,,
NY,,18-Jun-15,
NY,,,
NY,,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,,,
NY,,26-Jun-15,
NY,,,
NY,,2-Jul-15,
NY,,,
NY,,9-Jul-15,
NY,,,
NY,,16-Jul-15,
NY,,,
NY,,23-Jul-15,
NY,,,
NY,,30-Jul-15,
NY,Syracuse,1-Jul-15,
NY,,,
NY,Poughkeepsie,1-Jul-15,
NY,,,
NY,Glens Falls,1-Jul-15,
NY,,,
NY,Johnstown,1-Jul-15,
NY,,,
NY,Hudson,1-Jul-15,
NY,,,
NY,Endicott,,1-Jul-15
NY,,,
NY,Ithaca,,1-Jul-15
NY,,,
NY,Steuben,,1-Jul-15
NY,,,
NY,Niagra Falls,,1-Jul-15
NY,,,
NY,Lockport,,1-Jul-15
NY,,,
NY,Batavia,,1-Jul-15
NY,,,
NY,Jamestown,,1-Jul-15
NY,,,
NY,Buffalo,1-Jul-15,
NY,,,
NY,Bronx,17-Jun-15,
NY,,,
NY,,18-Jun-15,
NY,,,
NY,,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,,,
NY,,26-Jun-15,
NY,,,
NY,,2-Jul-15,
NY,,,
NY,,9-Jul-15,
NY,,,
NY,,16-Jul-15,
NY,,,
NY,,23-Jul-15,
NY,,,
NY,,30-Jul-15,
NY,Queens,17-Jun-15,
NY,,,
NY,,18-Jun-15,
NY,,,
NY,,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,,,
NY,,26-Jun-15,
NY,,,
NY,,2-Jul-15,
NY,,,
NY,,9-Jul-15,
NY,,,
NY,,16-Jul-15,
NY,,,
NY,,23-Jul-15,
NY,,,
NY,,30-Jul-15,
NY,Brooklyn,17-Jun-15,
NY,,,
NY,,18-Jun-15,
NY,,,
NY,,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,,,
NY,,26-Jun-15,
NY,,,
NY,,2-Jul-15,
NY,,,
NY,,9-Jul-15,
NY,,,
NY,,16-Jul-15,
NY,,,
NY,,23-Jul-15,
NY,,,
NY,,30-Jul-15,
NY,Manhattan,17-Jun-15,
NY,,,
NY,,18-Jun-15,
NY,,,
NY,,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,,,
NY,,26-Jun-15,
NY,,,
NY,,2-Jul-15,
NY,,,
NY,,9-Jul-15,
NY,,,
NY,,16-Jul-15,
NY,,,
NY,,23-Jul-15,
NY,,,
NY,,30-Jul-15,
NY,Staten Island,17-Jun-15,
NY,,,
NY,,18-Jun-15,
NY,,,
NY,,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,,,
NY,,26-Jun-15,
NY,,,
NY,,2-Jul-15,
NY,,,
NY,,9-Jul-15,
NY,,,
NY,,16-Jul-15,
NY,,,
NY,,23-Jul-15,
NY,,,
NY,,30-Jul-15,
NY,White Plains,17-Jun-15,
NY,,,
NY,,18-Jun-15,
NY,,,
NY,,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,,,
NY,,26-Jun-15,
NY,,,
NY,,2-Jul-15,
NY,,,
NY,,9-Jul-15,
NY,,,
NY,,16-Jul-15,
NY,,,
NY,,23-Jul-15,
NY,,,
NY,,30-Jul-15,
NY,Scarsdale,17-Jun-15,
NY,,,
NY,,18-Jun-15,
NY,,,
NY,,24-Jun-15,
NY,,,
NY,,25-Jun-15,
NY,,,
