Auckland City Harbour News,"14,000"
Central Leader,"82,000"
East & Bays Courier,"66,000"
Eastern Courier,"71,000"
Manukau Courier,"141,000"
North Harbour News,"18,000"
North Shore Times,"105,000"
Nor-West News,"16,000"
Papakura Courier,"50,000"
Rodney Times,"64,000"
Waiheke Marketplace,n/a
Western Leader,"91,000"
The Bay Chronicle,n/a
Dargaville & District News,"18,000"
Northern News,"19,000"
Whangarei Leader,"34,000"
The Dominion Post,"108,000"
The Dominion Post + The Wellingtonian,"140,000"
The Dominion Post + The Hutt News,"154,000"
The Dominion Post + Upper Hut Leader,"128,000"
The Dominion Post + The Wellingtonian +The Hutt News +  Upper Hut Leader,"197,000"
The Dominion Post + Kapi-Mani News ,"138,000"
Manawatu Standard,"32,000"
Manawatu Standard + The Tribune,"49,000"
Manawatu Standard +Feilding Herald,"38,000"
Manawatu Standard +Feilding Herald + Rangitikei Mail,"39,000"
Taranaki Daily News,"45,000"
Taranaki Daily News + North Taranaki Midweek,"62,000"
Taranaki Daily News + Taranaki Star,"60,000"
Taranaki Daily News + North Taranaki Midweek + Taranaki Star,"76,000"
Waikato Times ,"79,000"
Waikato Times + Hamilton Press,"123,000"
The Southland Times,"53,000"
The Southland Times + The Eye,"62,000"
The Southland Times + The Mirror,"61,000"
The Southland Times + Clutha Leader,"61,000"
The Southland Times + The Eye + The Mirror + Clutha Leader,"91,000"
The Timaru Herald,"29,000"
The Timaru Herald + South Canterbury Herald,"40,000"
The Press,"163,000"
The Press + Christchurch Mail,"217,000"
The Press + Central Canterbury News,"172,000"
The Press + Northern Outlook,"187,000"
The Press + Mid Canterbury Herald,"182,000"
The Press + Christchurch Mail + Central Canterbury News + Northern Outlook + Mid Canterbury Herald,"261,000"
The Marlborough Express ,"19,000"
The Marlborough Express + Marlborough Midweek,"32,000"
The Marlborough Express + Saturday Express,"29,000"
The Marlborough Express + Marlborough Midweek + Saturday Express,"34,000"
Nelson Mail,"32,000"
Nelson Mail + Nelson Leader,"47,00"
Nelson Mail + Tasman Leader,"50,000"
Nelson Mail + Nelson Leader + Tasman Leader ,"61,000"
