Title,6 Months ,1 year renewal,1 year new subscription,2 years new subs ,2 years renewal ,1 year SuperGold,3 years new subs ,3 years renewal
House & Garden,55,78,98,180,150,75,N/A,N/A
Cuisine,N/A,40,50,90,78,40,135,115
NZ Gardener,45,63.5,78.5,145,120,62,N/A,N/A
Life & Leisure,N/A,45,52.5,95,85,43,135,120
TV Guide,50,88,88,N/A,N/A,73,N/A,N/A
Autocar,50,78.5,88.5,160,150,75,N/A,N/A
Boating NZ,45,73.5,83.5,150,140,70,N/A,N/A
Fishing News,45,73.5,83.5,150,140,70,N/A,N/A
The Cut,N/A,45,52,95,90,45,N/A,N/A
Fish & Game,N/A,33,45,65,60,N/A,N/A,N/A
Lifestyle Block,37.5,65,72.5,135,125,N/A,N/A,N/A
Trucking,40,68,78,145,130,N/A,N/A,N/A
Horse & Pony,42,70,78,145,140,N/A,N/A,N/A
Ponies,N/A,27,28.5,50,47.5,N/A,N/A,N/A
Avenues,N/A,N/A,49,N/A,N/A,N/A,N/A,N/A
World,N/A,N/A,40,N/A,N/A,N/A,N/A,N/A
