Publication,Town,Round ID,Redelivery,Redelivery Cutoff time M-F,Redelivery Cutoff Sat,Redelivery Cutoff Sun,sme comments
Taranaki Daily News,ELTHAM,,No,9AM NZ,9AM NZ,No,
Taranaki Daily News,WAITARA,,No,9AM NZ,9AM NZ,No,
Taranaki Daily News,OAKURA,,No,9AM NZ,9AM NZ,No,
Taranaki Daily News,WAVERLY,,No,9AM NZ,9AM NZ,No,
Taranaki Daily News,OPUNAKE,,No,9AM NZ,9AM NZ,No,
Taranaki Daily News,URENUI,,No,9AM NZ,9AM NZ,No,
Nelson Mail,No Redeliveries,,No,No,No,No,
Marlborough Express,Marlborough Sounds,,No,No,No,,
Marlborough Express,Picton,,No,No,No,,
Marlborough Express,Renwick,,No,No,No,,
Marlborough Express,Rai Valley,,No,No,No,,
Marlborough Express,Canvastown,,No,No,No,,
Marlborough Express,Havelock,,No,No,No,,
Marlborough Express,Rarangi,,No,No,No,,
Marlborough Express,Grovetown,,No,No,No,,
Marlborough Express,Spring Creek,,No,No,No,,
Marlborough Express,Tua Marina,,No,No,No,,
Marlborough Express,Waihopai Valley,,No,No,No,,
Marlborough Express,Wairau Valley,,No,No,No,,
Marlborough Express,Omaka,,No,No,No,,
Marlborough Express,St Andrews,,No,No,No,,
Marlborough Express,Seddon,,No,No,No,,
Marlborough Express,Ward,,No,No,No,,
Marlborough Express,Awatere,,No,No,No,,
Marlborough Express,Kaikoura,,No,No,No,,
Marlborough Express,Burliegh,,No,No,No,,
Marlborough Express,Mayfield,,Yes,6PM NZ,No,,
Marlborough Express,Springlands,,Yes,6PM NZ,No,,
Marlborough Express,Whitney,,Yes,6PM NZ,No,,
Marlborough Express,Redwoodtown,,Yes,6PM NZ,No,,
Marlborough Express,Witherlea,,Yes,6PM NZ,No,,
Marlborough Express,Riversdale,,Yes,6PM NZ,No,,
Marlborough Express,Farmham,,Yes,6PM NZ,No,,
Marlborough Express,Roselands,,Yes,6PM NZ,No,,
Marlborough Express,Yelverton,,Yes,6PM NZ,No,,
Marlborough Express,Islington,,Yes,6PM NZ,No,,
Marlborough Express,Solar Heights,,Yes,6PM NZ,No,,
Marlborough Express,Townsend,,Yes,6PM NZ,No,,
Marlborough Express,Wither Rise,,Yes,6PM NZ,No,,
Marlborough Express,Blenheim CBD,,Yes,6PM NZ,No,,
The Timaru Herald,,,No,9AM NZ,9AM NZ,,
Southland Times,NORTH RUN 220,S60002220,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH RUN 221 & INDUSTRIAL,S60002221,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH EAST RUN 331,S60002231,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH EAST RUN 332,S60002232,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH EAST RUN 333,S60005533,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH EAST RUN 334,S60005534,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH EAST RUN 335,S60005535,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH EAST RUN 336,S60005536,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH EAST RUN 337,S60005537,Yes,10AM NZ,10AM NZ,No,
Southland Times,NORTH EAST RUN 338,S60005538,Yes,10AM NZ,10AM NZ,No,
Southland Times,WAIKIWI RUN 440 W/W,S60002440,Yes,10AM NZ,10AM NZ,No,
Southland Times,WAIKIWI RUN 441,S60002441,Yes,10AM NZ,10AM NZ,No,
Southland Times,WAIKIWI RUN 442,S60002442,Yes,10AM NZ,10AM NZ,No,
Southland Times,WAIKIWI RUN 443,S60002443,Yes,10AM NZ,10AM NZ,No,
Southland Times,WAIKIWI RUN 444,S60002444,Yes,10AM NZ,10AM NZ,No,
Southland Times,EAST WEST RUN 551,S60005751,Yes,10AM NZ,10AM NZ,No,
Southland Times,EAST WEST RUN 552,S60005752,Yes,10AM NZ,10AM NZ,No,
Southland Times,EAST WEST RUN 553,S60005753,Yes,10AM NZ,10AM NZ,No,
Southland Times,EAST WEST RUN 554,S60005754,Yes,10AM NZ,10AM NZ,No,
Southland Times,EAST WEST RUN 555,S60005755,Yes,10AM NZ,10AM NZ,No,
Southland Times,EAST WEST RUN 556,S60005756,Yes,10AM NZ,10AM NZ,No,
Southland Times,SOUTH RUN 661,S60006661,Yes,10AM NZ,10AM NZ,No,
Southland Times,SOUTH RUN 662,S60006662,Yes,10AM NZ,10AM NZ,No,
Southland Times,SOUTH RUN 663,S60006663,Yes,10AM NZ,10AM NZ,No,
Southland Times,SOUTH RUN 664,S60006664,Yes,10AM NZ,10AM NZ,No,
Southland Times,SOUTH RUN 665,S60006665,Yes,10AM NZ,10AM NZ,No,
Southland Times,SOUTH WEST RUN 771,S60006871,Yes,10AM NZ,10AM NZ,No,
Southland Times,SOUTH WEST RUN 772,S60006872,Yes,10AM NZ,10AM NZ,No,
Southland Times,SOUTH WEST RUN 773,S60006873,Yes,10AM NZ,10AM NZ,No,
Southland Times,ASCOT CARE HOME,S25108895,Yes,10AM NZ,10AM NZ,No,
Southland Times,BAINFIELD PARK - STICKY LABEL,S25408851,Yes,10AM NZ,10AM NZ,No,
Southland Times,BEACH ROAD CAMP - STICKY LABEL,S75407708,Yes,10AM NZ,10AM NZ,No,
Southland Times,CALVARY HOSPITAL - STICKY LABEL,S25708820,Yes,10AM NZ,10AM NZ,No,
Southland Times,CARGILL COURT - STICKY LABEL,S25602405,Yes,10AM NZ,10AM NZ,No,
Southland Times,CARGILL HOME - STICKY LABEL,S25502410,Yes,10AM NZ,10AM NZ,No,
Southland Times,CLARE HOUSE - STICKY LABEL,S25908801,Yes,10AM NZ,10AM NZ,No,
Southland Times,GLENBRAE REST REST HOME - STICKY LABEL,S25556840,Yes,10AM NZ,10AM NZ,No,
Southland Times,INVERCARGILL PRISON - STICKY LABEL,S25108880,Yes,10AM NZ,10AM NZ,No,
Southland Times,KEW HOSPITAL - STICKY LABEL,S25956600,Yes,10AM NZ,10AM NZ,No,
Southland Times,PEACEHAVEN HOSPITAL - STICKY LABEL,S25108860,Yes,10AM NZ,10AM NZ,No,
Southland Times,ROSE LODGE - STICKY LABEL,S25605566,Yes,10AM NZ,10AM NZ,No,
Southland Times,ROWENA JACKSON REST HOME - STICKY LABEL,S25702401,Yes,10AM NZ,10AM NZ,No,
Southland Times,TAKATIMU ANGLICAN HOME - STICKY LABEL,S25508830,Yes,10AM NZ,10AM NZ,No,
Southland Times,VICKERY COURT REST HOME - STICKY LABEL,S25208810,Yes,10AM NZ,10AM NZ,No,
Southland Times,WAIKIWI GARDENS REST HOME - STICKY LABEL,S25808810,Yes,10AM NZ,10AM NZ,No,
Southland Times,WALMSLEY HOUSE - STICKY LABEL,S25905710,Yes,10AM NZ,10AM NZ,No,
Southland Times,ALEXANDRA,S01904000,Yes,10AM NZ,10AM NZ,No,
Southland Times,BLUFF,S50204801,Yes,10AM NZ,10AM NZ,No,
Southland Times,ALBANY REST HOME,S04073321,Yes,10AM NZ,10AM NZ,No,
Southland Times,CAMERON HOUSE,S04083317,Yes,10AM NZ,10AM NZ,No,
Southland Times,PARATA CENTRE,S04063320,Yes,10AM NZ,10AM NZ,No,
Southland Times,RESTHAVEN VILLAGE,S04083318,Yes,10AM NZ,10AM NZ,No,
Southland Times,WINDSOR LIFESTYLE,S04093319,Yes,10AM NZ,10AM NZ,No,
Southland Times,GORE RUN 331,S04103331,Yes,10AM NZ,10AM NZ,No,
Southland Times,GORE RUN 332,S04103332,Yes,10AM NZ,10AM NZ,No,
Southland Times,GORE RUN 333,S04103333,Yes,10AM NZ,10AM NZ,No,
Southland Times,GORE RUN 334,S04103334,Yes,10AM NZ,10AM NZ,No,
Southland Times,GORE RUN 335,S04103335,Yes,10AM NZ,10AM NZ,No,
Southland Times,WEST MYROSS TOWN,S80257511,Yes,10AM NZ,10AM NZ,No,
Southland Times,INVERCARGILL - OTATARA,S75107709,Yes,10AM NZ,10AM NZ,No,
Southland Times,INVERCARGILL - South 22 11 RD,S40106622,Yes,10AM NZ,10AM NZ,No,
Manawatu Standard,Woodville,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Waitarere Beach,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Woodville,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Ashhurst,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Pahiatua,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Dannevirke,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Feilding,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Palmerston North,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Levin,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Foxton,,Yes,6PM NZ,4PM NZ,No,
Manawatu Standard,Foxton Beach,,Yes,6PM NZ,4PM NZ,No,
Waikato Times,Matamata Town,W002002073,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Matamata Town,W002002074,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Tokoroa Town,W002002079,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Ngaruawahia Town,W005002095,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Huntly Town,W005002096,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Te Awamutu Town,WT07002101,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Te Awamutu Town,WT07002103,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Cambridge Town,WT11002109,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Cambridge Town,WT11002115,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Enderly,WT24002024,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Chedworth - Fairfield,WT25002025,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Fairfield - Claudelands,WT26002026,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Chartwell,WT27002027,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Fairview Downs,WT28002028,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Chartwell - Fairfield,WT29002029,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Pukete,WT30002030,Yes,8AM NZ,8AM NZ,No,
Waikato Times,,WT31002031,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Saint Andrews,WT32002032,Yes,8AM NZ,8AM NZ,No,
Waikato Times,,WT33002033,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Dinsdale,WT34002034,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Nawton - Grandview Hghts,WT35002035,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Nawton - Dinsdale,WT36002036,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Western Hgts - Nawton,wt37002037,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Dinsdale - Temple View,WT38002038,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Melville - Ham Lake,WT39002039,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Deanwell - Glenview,WT40002040,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Frankton - Maeroa,WT41002041,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Glenview,WT42002042,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Hillcrest - Silverdale,WT43002043,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Riverlea - Hillcrest,WT44002044,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Hillcrest - Ham East,WT45002045,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Ham East - Ham Lake,WT46002046,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Hospital add on,WT46002046,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Rototuna - Flagstaff,WT47002047,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Huntington,WT48002048,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Rototuna North,WT49002049,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Flagstaff Woodridge,WT49002949,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Huntington - Chartwell,WT50002050,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Whitiora - Beerescourt,,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Fitzroy - Bader - Glenview,WT52002052,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Hamilton East - Hillcrest,WT53002053,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Ham East - Claudelands,WT54002054,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Queenwood,WT55002055,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Rototuna,WT56002056,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Rototuna - Flagstaff,WT57002057,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Frankton - Dinsdale,WT58002058,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Nawton,WT59002059,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Kawhia Town Deliveries (Subs not in Matrix),No Round #,Yes,8AM NZ,8AM NZ,No,
Waikato Times,Thames Town,W001002064,No,No,No,No,
Waikato Times,Whitianga Town,W001002065,No,No,No,No,
Waikato Times,Paeroa Town,W001002067,No,No,No,No,
Waikato Times,,W001002068,No,No,No,No,
Waikato Times,Whangamata,W001002070,No,No,No,No,
Waikato Times,Waihi Town - Waihi Beach,W001002071,No,No,No,No,
Waikato Times,Putaruru Town,W002002077,No,No,No,No,
Waikato Times,Otorohanga Town,W003002084,No,No,No,No,
Waikato Times,Te Kuiti Town,W003002086,No,No,No,No,
Waikato Times,Taumarunui Town TD,W003002088,No,No,No,No,
Waikato Times,Morrinsville Town,W004002089,No,No,No,No,
Waikato Times,Kihikihi Town,W007002112,No,No,No,No,
Waikato Times,Cambridge Retail Subs,W011002011,No,No,No,No,
Waikato Times,Hamilton CBD Businesses,W023002023,No,No,No,No,
Waikato Times,Te Rapa/CBD/Beerescourt/Forest Lake/Pukete/St Andrews,W061003061,No,No,No,No,
Waikato Times,Hillcrest-Rototuna Retail Subs,W062003062,No,No,No,No,
Waikato Times,Glenview/Frankton/Dinsdale/Bader/Lake Retail,W063003063,No,No,No,No,
Waikato Times,CBD Hamilton Phoebe,W101002001,No,No,No,No,
Waikato Times,HAM CBD Perry Tito,W101002003,No,No,No,No,
Waikato Times,North Island Postals,W400001401,No,No,No,No,
Waikato Times,South Island Postals,W400001402,No,No,No,No,
Waikato Times,Ham-Thames Line Haul,WT001,No,No,No,No,
Waikato Times,Coromandel Peninsula,WT001903,No,No,No,No,
Waikato Times,Ham-Ngaruawahia-Huntly Line Haul,WT005,No,No,No,No,
Waikato Times,Ham-Te Awamutu-Kihikihi Town Line Haul,WT007,No,No,No,No,
Waikato Times,Cambridge Express Line Haul,WT011,No,No,No,No,
Waikato Times,Leamington - Cambridge,WT11002107,No,No,No,No,
Waikato Times,NZP TD ARAPUNI-CONTRACT-POSTIE,WTARI001,No,No,No,No,
Waikato Times,NZP TD COROM-CONTRACT-POSTIE,WTCND001,No,No,No,No,
Waikato Times,NZP TD MANGA-CONTRACT-POSTIE,WTMGD001,No,No,No,No,
Waikato Times,NZP TD NGATEA-CONTRACT-POSTIE,WTNGT001,No,No,No,No,
Waikato Times,NZP TD OHAUPO-CONTRACT-POSTIE,WTOHP001,No,No,No,No,
Waikato Times,NZP TD PIOPIO-CONTRACT-POSTIE,WTPIO001,No,No,No,No,
Waikato Times,NZP TD PIRONGI-CONTRACT-POSTIE,WTPIR001,No,No,No,No,
Waikato Times,NZP RDP RD-1-ARIA,WTRD1ARIA,No,No,No,No,
Waikato Times,NZP RDP RD-1-ATIAMURI,WTRD1ATIAM,No,No,No,No,
Waikato Times,RD RD-1-CAMBRIDGE,WTRD1CAMB,No,No,No,No,
Waikato Times,NZP RDP RD-1-COROMANDEL,WTRD1COROM,No,No,No,No,
Waikato Times,RD RD-1-HAMILTON,WTRD1HAMIL,No,No,No,No,
Waikato Times,NZP RDP RD-1-HIKUAI,WTRD1HIKUA,No,No,No,No,
Waikato Times,NZP RDP RD-1-HUNTLY,WTRD1HUNTL,No,No,No,No,
Waikato Times,NZP RDP RD-1-KAWHIA,WTRD1KAWH,No,No,No,No,
Waikato Times,NZP RDP RD-1-MAHOENUI,WTRD1MAHOE,No,No,No,No,
Waikato Times,NZP RDP RD-1-MANGAKINO,WTRD1MANGA,No,No,No,No,
Waikato Times,NZP RDP RD-1-MATAMATA,WTRD1MATAM,No,No,No,No,
Waikato Times,NZP RDP RD-1-MATIERE,WTRD1MATIE,No,No,No,No,
Waikato Times,NZP RDP RD-1-MORRINSVILLE,WTRD1MORRI,No,No,No,No,
Waikato Times,NZP RDP RD-1-NGARUAWAHIA,WTRD1NGARU,No,No,No,No,
Waikato Times,NZP RDP RD-1-NGATEA,WTRD1NGATE,No,No,No,No,
Waikato Times,RD RD-1-OHAUPO,WTRD1OHAUP,No,No,No,No,
Waikato Times,NZP RDP RD-1-ONGARUE,WTRD1ONGAR,No,No,No,No,
Waikato Times,NZP RDP RD-1-OPARAU,WTRD1OPARA,No,No,No,No,
Waikato Times,NZP RDP RD-1-OWHANGO,WTRD1OWHAN,No,No,No,No,
Waikato Times,NZP RDP RD-1-PAEROA,WTRD1PAERO,No,No,No,No,
Waikato Times,NZP RDP RD-1-PIOPIO,WTRD1PIOP,No,No,No,No,
Waikato Times,NZP RDP RD-1-POKENO,WTRD1POKEN,No,No,No,No,
Waikato Times,NZP RDP RD-1-PUKEATUA,WTRD1PUKEA,No,No,No,No,
Waikato Times,NZP RDP RD-1-PUTARURU,WTRD1PUTAR,No,No,No,No,
Waikato Times,NZP RDP RD-1-RAGLAN,WTRD1RAG,No,No,No,No,
Waikato Times,NZP RDP RD-1-TAUMARUNUI,WTRD1TAUMA,No,No,No,No,
Waikato Times,NZP RDP RD-1-TAUPIRI,WTRD1TAUPI,No,No,No,No,
Waikato Times,NZP RDP RD-1-TAUPO,WTRD1TAUPO,No,No,No,No,
Waikato Times,NZP RDP RD-1-TE-AROHA,WTRD1TEARO,No,No,No,No,
Waikato Times,NZP RDP RD-1-TE-AWAMUTU,WTRD1TEAWM,No,No,No,No,
Waikato Times,NZP RDP RD-1-TE-KUITI,WTRD1TEKUI,No,No,No,No,
Waikato Times,NZP RDP RD-1-TE-MATA,WTRD1TEMAT,No,No,No,No,
Waikato Times,NZP RDP RD-1-THAMES,WTRD1THAME,No,No,No,No,
Waikato Times,NZP RDP RD-1-TIRAU,WTRD1TIRAU,No,No,No,No,
Waikato Times,NZP RDP RD-1-TOKOROA,WTRD1TOKOR,No,No,No,No,
Waikato Times,NZP RDP RD-1-TUAKAU,WTRD1TUAKA,No,No,No,No,
Waikato Times,NZP RDP RD-1-WAHAROA,WTRD1WAH,No,No,No,No,
Waikato Times,NZP RDP RD-1-WAITOA,WTRD1WAITO,No,No,No,No,
Waikato Times,NZP RDP RD-1-WALTON,WTRD1WAL,No,No,No,No,
Waikato Times,NZP RDP RD-1-WAIUKU,WTRD1WAUKU,No,No,No,No,
Waikato Times,NZP RDP RD-1-WHITIANGA,WTRD1WHITI,No,No,No,No,
Waikato Times,NZP RDP RD-2-CAMBRIDGE,WTRD2CAM,No,No,No,No,
Waikato Times,RD RD-2-HAMILTON,WTRD2HAM,No,No,No,No,
Waikato Times,NZP RDP RD-2-HUNTLY,WTRD2HUNTL,No,No,No,No,
Waikato Times,NZP RDP RD-2-MATAMATA,WTRD2MATAM,No,No,No,No,
Waikato Times,NZP RDP RD-2-MERCER,WTRD2MER,No,No,No,No,
Waikato Times,NZP RDP RD-2-MORRINSVILLE,WTRD2MOR,No,No,No,No,
Waikato Times,NZP RDP RD-2-NGARUAWAHIA,WTRD2NGA,No,No,No,No,
Waikato Times,RD RD-2-OHAUPO,WTRD2OHA,No,No,No,No,
Waikato Times,NZP RDP RD-2-OPARAU,WTRD2OPA,No,No,No,No,
Waikato Times,NZP RDP RD-2-OTOROHANGA,WTRD2OTO,No,No,No,No,
Waikato Times,NZP RDP RD-2-OWHANGO,WTRD2OWH,No,No,No,No,
Waikato Times,NZP RDP RD-2-POKENO,WTRD2POK,No,No,No,No,
Waikato Times,NZP RDP RD-2-PUKEKOHE,WTRD2PUK,No,No,No,No,
Waikato Times,NZP RDP RD-2-PUTARURU,WTRD2PUT,No,No,No,No,
Waikato Times,NZP RDP RD-2-TAUMARUNUI,WTRD2TAUMA,No,No,No,No,
Waikato Times,NZP RDP RD-2-TAUPIRI,WTRD2TAUPI,No,No,No,No,
Waikato Times,NZP RDP RD-2-TE-AROHA,WTRD2TEARO,No,No,No,No,
Waikato Times,NZP RDP RD-2-TE-KAUWHATA,WTRD2TEKAU,No,No,No,No,
Waikato Times,NZP RDP RD-2-TE-KUITI,WTRD2TEKUI,No,No,No,No,
Waikato Times,NZP RDP RD-2-TIRAU,WTRD2TIR,No,No,No,No,
Waikato Times,RDP RD-2-WHITIANGA,WTRD2WHI,No,No,No,No,
Waikato Times,NZP RDP RD-2-WAIUKU,WTRD2WUKU,No,No,No,No,
Waikato Times,NZP RDP RD-3-CAMBRIDGE,WTRD3CAM,No,No,No,No,
Waikato Times,RD RD-3-HAMILTON,WTRD3HAM,No,No,No,No,
Waikato Times,NZP RDP RD-3-MATAMATA,WTRD3MAT,No,No,No,No,
Waikato Times,NZP RDP RD-3-MORRINSVILLE,WTRD3MOR,No,No,No,No,
Waikato Times,NZP RDP RD-3-OTOROHANGA,WTRD3OTO,No,No,No,No,
Waikato Times,NZP RDP RD-3-POKENO,WTRD3POK,No,No,No,No,
Waikato Times,NZP RDP RD-3-PUKEKOHE,WTRD3PUK,No,No,No,No,
Waikato Times,NZP RDP RD-3-PUTARURU,WTRD3PUT,No,No,No,No,
Waikato Times,NZP RDP RD-3-TE-AROHA,WTRD3TEARO,No,No,No,No,
Waikato Times,NZP RDP RD-3-TE-AWAMUTU,WTRD3TEAWA,No,No,No,No,
Waikato Times,NZP RDP RD-3-TE-KUITI,WTRD3TEKUI,No,No,No,No,
Waikato Times,NZP RDP RD-4-CAMBRIDGE,WTRD4CAM,No,No,No,No,
Waikato Times,RD RD-4-HAMILTON,WTRD4HAM,No,No,No,No,
Waikato Times,NZP RDP RD-4-MORRINSVILLE,WTRD4MOR,No,No,No,No,
Waikato Times,NZP RDP RD-4-OHINEWAI,WTRD4OHI,No,No,No,No,
Waikato Times,NZP RDP RD-4-OTOROHANGA,WTRD4OTO,No,No,No,No,
Waikato Times,NZP RDP RD-4-PAEROA,WTRD4PAE,No,No,No,No,
Waikato Times,NZP RDP RD-4-PUKEKOHE,WTRD4PUK,No,No,No,No,
Waikato Times,NZP RDP RD-4-TAUMARUNUI,WTRD4TAU,No,No,No,No,
Waikato Times,NZP RDP RD-4-TAUPO,WTRD4TAUPO,No,No,No,No,
Waikato Times,NZP RDP RD-4-TE-AWAMUTU,WTRD4TEA,No,No,No,No,
Waikato Times,NZP RDP RD-4-THAMES,WTRD4THAME,No,No,No,No,
Waikato Times,NZP RDP RD-5-MORRINSVILLE,WTRD5MOR,No,No,No,No,
