Publication,Round ID,Round Desc/town,Redelivery cut off time M-F,Redelivery cut off time Sat,Redelivery cut off Sun,,,,,,,,,,,,,,,,,,,,
The Press,AS-ASHR1,ASHBURTON TOWN 1,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,AS-ASHR2,ASHBURTON TOWN 2,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,AS-METTOWN,METHVEN TOWN,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,BE-KAKTOWN,KAIKOURA TOWN,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-03ILAM,ILAM LIFECARE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-03MAYFR,MAYFAIR LIFECARE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-03RANN,RANNERDALE WAR VETERANS HOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-03STNIC,ST NICHOLAS HOSPITAL,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-08AWRV,ANTHONY WILDING RETIRE VILLAGE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-11CBHS,CHRISTCHURCH BOYS HIGH SCHOOL,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-11HOLLY,HOLLYLEA RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-11KAURI,KAURI LODGE RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-13ELMS,ELMSWOOD COURT RETIREMENT VLGE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-16BISPK,BISHOPSPARK COTTAGES,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-16MOLLY,BISHOPSPARK RESTHOME MOLLY PYT,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-17FITZ,FITZROY OF MERIVALE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-17MRV,MERIVALE RETIREMENT VILLAGE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-17PALAZ,PALAZZO SUITES MERIVALE RT/VGE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-17SILVR,SILVERDALE HOSPITAL,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-18BECK,ESSIE SUMMERS S/APPARTMENTS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-18BREST,ESSIE SUMMERS RETIREMENT VILLA,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-18CVAPT,CASHMERE VIEW APARTMENTS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-18CVRST,CASHMERE VIEW - ASHGROVE WING,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-18ROSE,ROSECOURT RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-20RHODE,RHODES MEMORIAL R/HOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-20SANTA,SANTA MARIA RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-25/FIR,FIRE SERVICE KILMORE ST,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-25AMU,AMURI COURTS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-25STH,ST HELENAS RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-31BROOK,BROOKHAVEN RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-31PARK,PARKWOOD RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-32CHATS,CHATSWOOD RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-40DIRV,DIANA ISAAC RETIREMENT VILLAGE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-40PALM,PALMGROVE RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-41ALISA,ST ALLISA RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-41OAKS,THE OAKS RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-44NMRV,NGAIO MARSH RETIREMENT VILLAGE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-48BETH,BETHESDA RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-51ADDLF,ADDINGTON LIFESTYLE CARE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-51MSRV,MARGARET STODDART RET VILLAGE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-55ALP,ALPINE VIEW RETIREMENT VILLAGE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-EAR30,BROMLEY WAINONI AVONSIDE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-EAR36,"NEW BRIGHTON,STH SHORE",9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-EAR53,NTH BEACH,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-EDITH,R37 EDITH CAVEL HOME &HOSPITAL,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-HOTSUBS,HOTEL RUN POLICE SUBS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-LOWIC20,LOWICK AVENUE SUBS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NER29,AVONDALE ARANUI,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NER35,DALLINGTON,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NER38,NTH BEACH PARKLANDS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NER47,BURWOOD NTH BRIGHTON,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NOR14,REDWOOD,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NOR17,MERIVALE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NOR19,ST ALBANS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NOR24,ST ALBANS EDGEWARE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NOR34,BURWOOD/MARSHLAND/BEL,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NOR40,SHIRLEY RICHMOND MARSH,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NOR55,SPENCERVILLE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NOR56,NORTHWOOD,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR05,BURNSIDE BISHOPDALE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR06,FENDALTON RUSSLEY,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR07,CASEBROOK HAREWOOD,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR09,MERIVALE FEND/BRYNWR,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR13,STROWAN MERIVALE/PAP,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR16,MERIVALE ST ALBANS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR42,AVONHEAD BURNSIDE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR43,BRYNDWR,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR44,PAPANUI,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-NWR48,BURNSIDE BISHOPDALE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-PMHR20,PRINCESS MARGARET HOSPITAL,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SER31,WOOLSTON OPAWA,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SER32,OPAWA HEATHCOTE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SER33,MT PLEASANT WOOLSTON,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SER37,SUMNER REDCLIFFS,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SOR18,SOMERFIELD SPREYDON,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SOR20,CASHMERE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SOR21,CITY,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SOR27,ST MARTINS HUNTSBURY,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SOR46,SYDENHAM WALTHAM,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SWR04,HALSWELL LINCOLN TAI TAPU,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SWR08,HILLMORTON HOON HAY,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SWR12,WIGRAM TEMPLETON PREBB,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SWR15,HOONHAY SPREYDON,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SWR23,HOON HAY HALSWELL,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SWR51,ADDINGTON HILLMORTEN,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-SWR54,HALSWELL OAKLANDS WESTLAKE,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-WER01,YALDHURST HEI HEI,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-WER03,RICCARTON,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-WER10A,UPPER RICCARTON,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-WER11,RICCARTON FENDALTON,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-WER22,AVONHEAD RUSSLEY,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-WER26,AVONHEAD,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,CH-WER41,AVONHEAD UPPER RICC,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,DU-WANTOWN,WANAKA TOWN,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,RA-KAIR1,KAIAPOI TOWN 1,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,RA-KAIR2,KAIAPOI TOWN 2,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,RA-R2HOLM,HOLMWOOD RESTHOME,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,RA-RGAR1,RANGIORA TOWN 1,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,RA-RGAR2,RANGIORA TOWN 2,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,TI-TEMTOWN,TEMUKA TOWN DELIVERIES,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,TI-TIMTOWN,TIMARU TOWN RUN 1,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
The Press,TI-TIMTWN2,TIMARU TOWN RUN 2,9:00 AM,10:00 AM,N/A,,,,,,,,,,,,,,,,,,,,
