DELIVERY SCHEDULE,RATE CODE,Monthly Rate,Year Code,Year Rate,Other,3 Day
MON-SUN,SmhMon-SunMonthDD,$44.00,SmhMon-SunStndNEW,$528.00,7 Days,0
MON-SAT,SmhMon-SatMonthDD,$40.00,SmhMon-SatStndNEW,$480.00,6 Days,0
MON-FRI,SmhMon-FriMonthDD,$37.00,SmhMon-FriStndNEW,$444.00,5 Days,0
ANY 4 DAYS DELIVERY,SmhDay-DayMonthDD,$36.00,SmhDay-DayStndNEW,$432.00,4 Days,0
ANY DAY + WEEKEND,SmhDay+WkndMonthDD,$31.00,SmhDay+WkndStndNEW,$372.00,3 Days,0
WEEKEND,SmhWeekendMonthDD,$25.00,SmhWeekendStndNEW,$300.00,2 Days,0
SATURDAY,SmhSaturdayMonthDD,$13.60,SmhSaturdayStndNEW,$163.20,,0
SUNDAY,Sun-HeraldMonthDD,$11.40,Sun-HeraldStndNEW,$136.80,,0
MoTueWed,SmhMonTueWedMonthDD,$ 31.00,SmhMonTueWedStandard,$ 372.00,,1
MoTueThu,SmhMonTueThuMonthDD,$ 31.00,SmhMonTueThuStandard,$ 372.00,,1
MoTueFri,SmhMonTueFriMonthDD,$ 31.00,SmhMonTueFriStandard,$ 372.00,,1
MoTueSat,SmhMonTueSatMonthDD,$ 31.00,SmhMonTueSatStandard,$ 372.00,,1
MoTueSun,SmhMonTueSunMonthDD,$ 31.00,SmhMonTueSunStandard,$ 372.00,,1
TuWedThu,SmhTueWedThuMonthDD,$ 31.00,SmhTueWedThuStandard,$ 372.00,,1
TuWedFri,SmhTueWedFriMonthDD,$ 31.00,SmhTueWedFriStandard,$ 372.00,,1
TuWedSat,SmhTueWedSatMonthDD,$ 31.00,SmhTueWedSatStandard,$ 372.00,,1
TuWedSun,SmhTueWedSunMonthDD,$ 31.00,SmhTueWedSunStandard,$ 372.00,,1
WeThuFri,SmhWedThuFriMonthDD,$ 31.00,SmhWedThuFriStandard,$ 372.00,,1
WeThuSat,SmhWedThuSatMonthDD,$ 31.00,SmhWedThuSatStandard,$ 372.00,,1
WeThuSun,SmhWedThuSunMonthDD,$ 31.00,SmhWedThuSunStandard,$ 372.00,,1
ThFriSat,SmhThuFriSatMonthDD,$ 31.00,SmhThuFriSatStandard,$ 372.00,,1
ThFriSun,SmhThuFriSunMonthDD,$ 31.00,SmhThuFriSunStandard,$ 372.00,,1
