Suburb,Community Newspaper,Main Paper
"Amberley, Cheviot, Culverden, Greta Valley, Hanmer Springs, Hawarden, Leithfield, Parnassus, Waiau, Waikari, Waipara, Cust, Loburn, Ohoka, Oxford, Rangiora, Sefton, Woodend",Northern Outlook,The Press
"Arthur's Pass, Burnham, Darfield, Dunsandel, Glentunnel, Halswell, Hororata, Kirwee, Lake Coleridge, Leeston, Lincoln, Little River, Motukarara, Prebbleton, Rolleston, Sheffield, Southbridge, Springfield, Springston, Tai Tapu,(Tai Tap), West Melton, Yaldhurst",Central Canterbury News,The Press
"Addington, Aranui, Avonhead, Avonside, Avonside, Banks Penninsula, Beckenham, Belfast, Bryndwr, Burnside, Burwood, Cashmere, Cracroft, Edgeware, Fendalton, Ferrymead, Halswell, Heathcote, Hoon Hay, Hornby, Linwood, Lyttelton, Mairehau, Merivale, New Brighton, Oaklands, Opawa, Papanui, Paparoa, Redcliffs, Riccarton, Shirley, Somerfield, South New Brighton, South Shore, Spreydon, St Martins, Sumner, Sydenham, Woolston",Christchurch Mail,The Press
"Arundel, Ashburton, Freezing Point, Hinds, Lake Heron, Mayfield, Methven, Mt Hutt, Mt Somers, Rakaia",Mid Canterbury Herald,The Press
"Kaikoura, Ward, Seddon, Blenheim, Picton, Havelock, Rai Valley",Marlborough Midweek,Marlborough Express
"Blenheim, Picton, Kaikoura, Rai Valley and Havelock",Saturday Express,Marlborough Express
"Whole of the Kaikoura township and rural areas. North to Clarence Bridge, South to Oaro and inland to Mt Lyford",Kaikoura Star,Marlborough Express
"Arundel, Ashburton, Freezing Point, Hinds, Lake Heron, Mayfield, Methven, Mt Hutt, Mt Somers, Rakaia",Mid Canterbury Herald,The Timaru Herald
"Burke Pass, Cave, Fairlie, Geraldine, Glenavy, Kimbell, Kurow, Lake Benmore, Lake Pukaki, Lake Tekapo, Makikihi, Mt. Cook, Omarama, Orari, Otematata, Peel Forest, Pleasant Point, St. Andrews,",South Canterbury Herald,The Timaru Herald
"Burke Pass, Cave, Fairlie, Geraldine, Glenavy, Kimbell, Kurow, Lake Benmore, Lake Pukaki, Lake Tekapo, Makikihi, Mt. Cook, Omarama, Orari, Otematata, Peel Forest, Pleasant Point, St. Andrews,",Central South Island Farmer - South,The Timaru Herald
"Duntroon, Dansys Pass, Western, Oamaru, Hampden, Moeraki Boulders, Palmerston, Ranfurly, Otematata",Waitaki Herald,The Timaru Herald
"Porirua, Titahi Bay, Tawa, Linden, Kenepuru, Ascot Park, Waitangirua, Whitby, Paremata, Pukerua Bay, Plimmerton, Pauatahanui, Cannons Creek, Elsdon, Onepoto and Grenada North. ",Kapi Mana News,The Dominion Post
"Pukerua Bay, Paekakariki, Paraparaumu, Waikanae, Otaki, Te Horo and Raumati.",Kapiti Observer,The Dominion Post
"Foxton, Shannon and Levin",Horowhenua Mail,The Dominion Post
"Lower Hutt, Petone, Eastbourne, Wainuiomata, Stokes Valley, Naenae, Taita, Normandale, Maungaraki, Kelson ",The Hutt News,The Dominion Post
"Miramar, Seatoun, Strathmore and Bays, Kilbirnie, Haitaitai, Lyall Bay, Island Bay, Owhiro bay, Vogeltown, Mornington, Newtown, Berhampore, Central City Area including - Mt Victoria, Roseneath, Te Aro, Mt Cook, Aro Valley and Kelburn, The Northern suburbs of Karori, Northland, Wadestown, Highland Park, Ngaio, Khaiwharawhara, Khandallah, Ngauranga, Newlands, Johnsonville, Paparangi, Churton Park, Tawa & Linden. ",The Wellingtonian,The Dominion Post
"Upper Hutt, Te Marua, Totara Park, Akatarawa, Haywards Hill, Manor Park, Trentham, Silverstream and Stokes Valley.",Upper Hutt Leader,The Dominion Post
"Pahiatua to Cape Palliser, Pahiatua, Eketahuna, Masterton, Carterton, Greytown, Featherston and Martinborough.",Wairarapa News,The Dominion Post
"Wanganui, Rangitikei, Manawatu, Horowhenua, Kapiti, Wairarapa, Southern Hawkes Bay and Southern Taranaki.",Central District Farmer,Manawatu Standard
"Ohakune, Waiouru (including Military Camp housing areas), Taihape, Mangaweka, Ohingaiti, Hunterville and the rural areas in between.",Central District Times,Manawatu Standard
"Manawatu and Rangitikei Districts which includes the bustling rural townships of Feilding, Marton, Bulls, Hunterville, Taihape and their surrounding communities.",Feilding Herald / Rangitikei Mail,Manawatu Standard
"Palmerston North and Ashhurst, Marton, Bulls, Sanson, Woodville, Pahiatua, Foxton (including Foxton Beach) and Shannon.",The Tribune,Manawatu Standard
"Mokau, Urenui, Waitara, New Plymouth, Oakura, Inglewood, Tariki, Okato",North Taranaki Midweek,Taranaki Daily News
"Rahotu, Stratford, Kaponga, Eltham, Opunake, Manaia, Normanby, Hawera, Patea, Waverley",South Taranaki Star,Taranaki Daily News
"Taumarunui, Owhango, Ohakune, Raetihi, Whakapapa and Turoa Skifields, National Park and to selected outlets in Turangi and Waiouru",Ruapehu Press,Waikato Times
"Huntly, Te Kauwhata, Meremere, Glen Murray, Rangiriri, Ohinewai, Te Hoe, Rotowaro, Glen Afton, Naike, Waiterimu, Te Akau, Taupiri, Waingaro, Ngaruawahia township and Orini",North Waikato News,Waikato Times
