Suburb,Newspaper
"Carrington, Freemans Bay, Grey Lynn, Herne Bay, Kingsland, Newton, Ponsonby, Pt Chevalier, St Marys Bay, Waterview, Western Springs and Westmer.",Auckland City Harbour News
"Balmoral, Epsom, Greenlane, Hillsborough, Lynfield, Mt Albert, Mt Eden, Mt Roskill, Morningside, New Windsor, One Tree Hill, Onehunga, Oranga, Owairaka, Penrose (not Te Papapa), Royal Oak, Sandringham, Three Kings, Waikowhai, Wesley.",Central Leader
"Ellerslie, Glen Innes, Glendowie, Kohimarama, Meadowbank, Mission Bay, Mt Wellington (including Panama Road), Orakei, Newmarket, Panmure, Parnell, Grafton, Pt England, Remuera, St Johns, St Heliers, Tamaki.",East & Bays Courier
"Beachlands, Botany Downs, Bucklands Beach, Burswood, Cascades, Chapel Downs, Chapel Heights, Cockle Bay, Cumbria Downs, Dannemora, Donegal Park, East Tamaki, East Tamaki Heights, Eastern Beach, Edgewater, Farm Cove, Golflands, Half Moon Bay, Highland Park, Howick, Huntington Park, Maraetai, Mellons Bay, Northpark, Ormiston, Pakuranga, Pakuranga Heights, Point View Park, Sacramento, Shamrock Park, Shelly Park, Somerville, Sunnyhills, Whitford.Ê Includes Rural Delivery areas:Ê Howick RD.Ê",Eastern Courier
"Clendon, Clover Park, Favona, Flat Bush, Goodwood Heights, Hill Park, Homai, Ihumatao, Mahia Park, Mangere Bridge, Mangere Central, Mangere East, Manukau Central, Manukau Heights, Manurewa, Manurewa East, Middlemore, Otahuhu, Otara, Papatoetoe, Peninsula Park, Puhinui, Randwick Park, The Gardens, Totara Heights, Wattle Downs, Weymouth, Wiri.",Manukau Courier
"ÊArkels Bay, Army Bay, Dairy Flat, Coatesville, Gulf Harbour, Hatfields Beach, Hobbs Bay, Little Manly, Manly, Matakatia Bay, Maygrove, Okoramai Bay, Orewa, Pine Valley, Red Beach, Redvale, Silverdale, Stanmore Bay, Stillwater, The Grange, Tindalls Beach, Whangaparaoa.Ê Includes Rural Delivery areas:Ê Silverdale RD, Albany RD 2, 3 (east), 4.Ê",North Harbour News
"Albany, Beach Haven, Bayswater, Bayview, Belmont, Birkdale, Birkenhead, Brookfield, Browns Bay, Bushlands, Campbells Bay, Castor Bay, Chatswood, Chester Park, Devonport, Forrest Hill, Glenfield, Greenhithe, Hillcrest, Mairangi Bay, Meadowood, Milford, Murrays Bay, Northcote, Northcross, Okura, Paremoremo, Pinehill, Rothesay Bay, Schnapper Rock, Stanley, Point, Sunnynook, Takapuna, Torbay, Unsworth Heights, Waiake, Wainoni, Westlake, Windsor Park.",North Shore Times
"Bethells Beach, West Coatesville, Helensville, Huapai, Kaukapakapa, Kumeu, Muriwai, Parakai, Riverhead, Taupaki, Waimauku, Waitakere, Waitoki, Whenuapai, semi-rural areas of Massey, Ranui, Swanson.Ê Includes Rural Delivery areas:Ê Henderson RD1, 2. Helensville RD1, 2. Kumeu RD1, 2. Kaukapakapa RD1, 3. Waimauku RD1, 2, 3. Warkworth RD4 (south). Albany RD3 (west).",Nor-West News
"Ararimu, Alfriston, Ardmore, Brookby, Clarks Beach, Clevedon, Conifer Grove, Drury, Hunua, Karaka, Kawakawa Bay, Kingseat, Opaheke, Orere Point, Pahurehure, Papakura, Paparimu, Patumahoe, Ponga, Pukekohe retail area, Ramarama, Red Hill, Runciman, Seagrove, Takanini, Te Hihi, Waiau Pa.Ê Includes Rural Deliver Areas:Ê Drury RD 1, 2, 3. Papakura RD 2, 3, 4, 5 and Manurewa RD1.",Papakura Courier
"Northern boundary at Wellsford up to Mangawhai Heads, down to the southern Albany Heights boundary, including Kumeu, Helensville, Hibiscus Coast, Warkworth, Wellsford and the Kowhai Coast.Ê Extended circulation every second Tuesday reaches further North and in to the Kaipara, covering Kaiwaka, Mangawhai, Maungaturoto and Paparoa.",Rodney Times
"Ostend, Blackpool, Oneroa, Omiha, Onetangi, Palm Beach, Surfdale - including rural delivery and Orapiu, as well as shops and businesses, Fullers Ferries, SeaLink Ferries and Matiatia wharf. Also available at Devonport Wharf, Freemans Bay New World and Foodtown Quay Street.",Waiheke Marketplace
"Avondale, Blockhouse Bay, Glen Eden, Glendene, Green Bay, Harbour View, Henderson, Henderson Valley, Herald Island, Hobsonville, Kelston, Laingholm, Massey, Massey East, Massey North, New Lynn, Palm Heights, Ranui, Sunnyvale, Swanson, Te Atatu Peninsula, Te Atatu South, Titirangi, Waima, Waimanu Bay, Waitakere, Western Heights, Westgate, West Harbour, Whenuapai, Woodlands Park.",Western Leader
"Doubtless Bay, RD3 Kaitaia, Kaeo, Kerikeri, Waipapa, Paihia, Opua, Russell and surrounding rural areas. Incorporating features from the Northern News.",The Bay Chronicle
"Kaipara district including Dargaville, Te Kopuru, Ruawai, Paparoa, Maungaturoto to Mangawhai and all rural areas.Ê To the north as far as Waipoua, south to Pouto and to Tangiteroria and Mangawhai in the east.",Dargaville & District News
"Kaikohe, Kawakawa, Moerewa, Ohaeawai, Okaihau, North & South Hokianga, Kaitaia and rural properties in surrounding areas.Ê Northern News is also incorporated in the Bay Chronicle on Thursdays and distributed to Doubtless Bay, Mangonui, Waipapa, Paihia, Opua, Russell and Kerikeri.",Northern News
"Whau Valley, Tikipunga, Woodhill, Parahaki, Kamo, Kensington, Raumanga, Onerahi, Otangarei, Otaika, Morningside, Maunu, Regent, Horahora, Hikurangi, Ruakaka and Waipu. Rural Areas include: Whangarei RD1, RD2, RD3, RD4, RD5, RD6, RD8, RD9.",Whangarei Leader
