Suburb,Community Newspaper,Main Paper
"Taumarunui, Owhango, Ohakune, Raetihi, Whakapapa and Turoa Skifields, National Park and to selected outlets in Turangi and Waiouru",Ruapehu Press,Waikato Times
"Huntly, Te Kauwhata, Meremere, Glen Murray, Rangiriri, Ohinewai, Te Hoe, Rotowaro, Glen Afton, Naike, Waiterimu, Te Akau, Taupiri, Waingaro, Ngaruawahia township and Orini",North Waikato News,Waikato Times
"Drury, North Waikato, Pukekohe, Waiuku, Tuakau, Patumahoe, Pokeno, Hunua, Karaka, Clarks Beach, Waiau Pa, Awhitu, Buckland, Bombay, Kaiaua, Miranda, Maramarua, Mercer, Meremere, Pukekawa, Onewhero, Port Waikato, Puni, Aka Aka, Otaua, Paerata, Runciman, Mangatawhiri, Mangatangi, Te Hihi, Kingseat, Ramarama, Pukeoware, Mauku, Glenbrook, Glenbrook Beach, Waipipi, Kohekohe, Te Toro, Pollok, Matakawau, Big Bay, Orua Bay, Wattle Bay, Te Kohanga and Waikaretu.",Franklin County News,Waikato Times
"Aberdeen, Ashmore, Beerescourt, Callum Brae, Chartwell, Chedworth Park, Claudelands, Crawshaw, Deanwell, Dinsdale, Enderley, Fairfield, Fairview Downs, Fitzroy, Flagstaff, Forest Lake, Frankton, Glaisdale, Glenview, Grandview Heights, Hamilton Central, Hamilton North, Hamilton East, Hamilton West, Harrowfield, Hillcrest, Huntington, Livingstone, Magellan Rise, Maeroa, Melville, Pukete, Queenwood, Ruakura, Riverlea, Rotokauri, Rototuna, Silverdale, Stonebridge, St Andrews, St James Park, St Petersburg, Somerset Heights, Stonebridge, Te Rapa, Te Kowhai, Temple View, Thornton, Western Heights, Whitiora, Woodsy's House",Hamilton Press,Waikato Times
"Cambridge East, Leamington, Tamahere, Matangi, Te Miro, Hautapu, Bruntwood, Fencourt, Pukeroro, Kaipaki, Pukemiru, Monavale, Rotoorangi, Kairangi, Hora Hora, Maungatautari, Pukekura, Karapiro, Whitehall, and French Pass.",Cambridge Edition,Waikato Times
"Hinuera, Peria, Turanga-o-moana, Te Poi, Waharoa, Walton, Wardville",Matamata Chronicle,Waikato Times
"Thames, Thames Coast, Coromandel Town, Matarangi, Whitianga, Cooks Beach, Hahei, Tairua, Pauanui, Whiritoa, Whangamata, Waihi, Waihi Beach, Athenree, Paeroa, Ngatea, Hauraki Plains, Patetonga, Kaihere, Kaiaua, and Miranda",Hauraki Herald,Waikato Times
"Fenton Park, Glenholme, Ohinemutu, Owhata, Mangakakahi, Western Heights, Westbrook, Fordlands, Springfield, Tihi-_tonga, Lynmore, Victoria, Pukehangi, Kawaha Point, Ngongotaha, Hamurana, Tikitere, Tarawera, Okareka, Koutu, Hillcrest, Utuhina, Whakarewarewa, Ngapuna, Holdens Bay, Hannahs Bay",Rotorua Review,Waikato Times
Morrinsville and Te Aroha and their rural communities in rolling Waikato farmland,Piako Post,Waikato Times
"Tokoroa, Putaruru, Tirau, Mangakino, Arapuni, Whakamaru and Atiamuri and the surrounding rural environs.Ê",South Waikato News,Waikato Times
"Wharewaka, Nukuhau, Richmond Heights, Mount View, Acacia Bay, Rainbow Point , Tauhara, Hilltop, Gradwell, Taupo CBD, Five Mile Bay , Wairakei, Waitahanui",Taupo Times,Waikato Times
"Queenstown, Central Otago",Queenstown Mirror,Southland Times
Clutha District,Clutha Leader,Southland Times
"Gore, Mossburn, Lumsden, Tapanui, Eastern Southland.",Newslink,Southland Times
"Winton, Bluff, Riverton, Te Anau",Invercargill Eye,Southland Times
"Otago, Southland",Otago Southland Farmer,Southland Times
"Collingwood, Takaka, Motueka, Mapua, Richmond, Tapawera, Wakefield, Brightwater, Murchison, Nelson Lakes",Tasman/Richmond Leader,Nelson Mail
"Stoke, Atawhai, Rai Valley, Okiwi Bay, D'Urville Island",Nelson Leader,Nelson Mail
