Oracle ID,QA Score 1,QA Score 2,QA Score 3,Assessment Score 1,Assessment Score 2,Assessment Score 3,Final Assessment,Attendance Day 1,Attendance Day 2,Attendance Day 3,Attendance Day 4,QA Score 4
2131733,5,0,0,0,0,0,0,20,0,0,0,0
2110019,85,0,0,0,0,0,0,20,0,0,0,0
2131715,60,0,0,0,0,0,0,7.7,0,0,0,0
2128245,100,0,0,0,0,0,0,20,0,0,0,0
2126106,35,0,0,0,0,0,0,20,0,0,0,0
2125771,0,0,0,0,0,0,0,0,0,0,0,0
2129319,85,0,0,0,0,0,0,20,0,0,0,0
2122301,95,0,0,0,0,0,0,20,0,0,0,0
2124591,100,0,0,0,0,0,0,20,0,0,0,0
2127138,70,0,0,0,0,0,0,20,0,0,0,0
2107365,85,0,0,0,0,0,0,20,0,0,0,0
2127754,85,0,0,0,0,0,0,7.68,0,0,0,0
2131728,100,0,0,0,0,0,0,20,0,0,0,0
2131720,100,0,0,0,0,0,0,20,0,0,0,0
2130733,100,0,0,0,0,0,0,20,0,0,0,0
2113375,60,0,0,0,0,0,0,7.58,0,0,0,0
2098658,100,0,0,0,0,0,0,20,0,0,0,0
2110060,85,0,0,0,0,0,0,20,0,0,0,0
2122662,85,0,0,0,0,0,0,20,0,0,0,0
2130739,100,0,0,0,0,0,0,20,0,0,0,0
2129806,0,0,0,0,0,0,0,0,0,0,0,0
2123660,0,0,0,0,0,0,0,20,0,0,0,0
2127144,85,0,0,0,0,0,0,20,0,0,0,0
2130742,100,0,0,0,0,0,0,20,0,0,0,0
2114484,85,0,0,0,0,0,0,20,0,0,0,0
2112863,0,0,0,0,0,0,0,0,0,0,0,0
2132428,85,0,0,0,0,0,0,20,0,0,0,0
2126226,85,0,0,0,0,0,0,20,0,0,0,0
2122622,100,0,0,0,0,0,0,20,0,0,0,0
2130746,85,0,0,0,0,0,0,20,0,0,0,0
2130740,0,0,0,0,0,0,0,0,0,0,0,0
2127474,100,0,0,0,0,0,0,20,0,0,0,0
2126645,85,0,0,0,0,0,0,20,0,0,0,0
2119420,95,0,0,0,0,0,0,20,0,0,0,0
2122612,85,0,0,0,0,0,0,20,0,0,0,0
2044080,100,0,0,0,0,0,0,20,0,0,0,0
2117801,100,0,0,0,0,0,0,20,0,0,0,0
2122294,95,0,0,0,0,0,0,20,0,0,0,0
2132497,0,0,0,0,0,0,0,20,0,0,0,0
