Oracle ID,QA Score 1,QA Score 2,QA Score 3,Assessment Score 1,Assessment Score 2,Assessment Score 3,Final Assessment,Attendance Day 1,Attendance Day 2,Attendance Day 3
2125227,0,0,0,0,0,0,0,0,0,0
2131716,0,0,0,0,0,0,0,0,0,0
2123635,65,0,0,0,0,0,0,0,0,0
2129844,70,0,0,0,0,0,0,0,0,0
2023785,75,0,0,0,0,0,0,0,0,0
2112459,75,0,0,0,0,0,0,0,0,0
2125233,65,0,0,0,0,0,0,0,0,0
2131729,70,0,0,0,0,0,0,0,0,0
2123741,80,0,0,0,0,0,0,0,0,0
2127470,55,0,0,0,0,0,0,0,0,0
2126641,0,0,0,0,0,0,0,0,0,0
2131725,70,0,0,0,0,0,0,0,0,0
2130360,70,0,0,0,0,0,0,0,0,0
2130370,0,0,0,0,0,0,0,0,0,0
2130366,85,0,0,0,0,0,0,0,0,0
2130350,50,0,0,0,0,0,0,0,0,0
2129211,0,0,0,0,0,0,0,0,0,0
2127140,55,0,0,0,0,0,0,0,0,0
2127145,0,0,0,0,0,0,0,0,0,0
2132951,85,0,0,0,0,0,0,0,0,0
2129809,60,95,0,0,100,0,0,0,20,0
2129064,70,100,0,0,90,0,0,0,20,0
2124946,70,45,0,0,100,0,0,0,20,0
2130745,25,50,0,0,90,0,0,0,20,0
2130363,85,70,0,0,90,0,0,0,20,0
2096881,70,80,0,0,100,0,0,0,20,0
2129076,70,75,0,0,90,0,0,0,20,0
2129847,85,70,0,0,100,0,0,0,20,0
2116353,70,65,0,0,100,0,0,0,20,0
2130751,70,55,0,0,90,0,0,0,20,0
2129845,75,75,0,0,80,0,0,0,20,0
2129221,85,70,0,0,90,0,0,0,20,0
2127512,25,70,0,0,100,0,0,0,20,0
2128747,80,85,0,0,80,0,0,0,20,0
2130362,55,55,0,0,90,0,0,0,20,0
2129971,0,0,0,0,0,0,0,0,0,0
2130387,0,0,0,0,0,0,0,0,0,0
2130735,55,80,0,0,90,0,0,0,20,0
2132746,None,60,0,0,100,0,0,0,20,0
2132932,85,65,0,0,100,0,0,0,20,0
