Oracle ID,QA Score 1,QA Score 2,QA Score 3,Assessment Score 1,Assessment Score 2,Assessment Score 3,Final Assessment,Attendance Day 1,Attendance Day 2,Attendance Day 3
2130365,25,0,0,0,0,100,96,0,0,20
2130355,0,0,0,0,0,90,100,0,0,20
2130376,0,0,0,0,0,90,96,0,0,20
2130357,0,0,0,0,0,100,96,0,0,20
2130367,0,0,0,0,0,100,96,0,0,20
2131739,20,0,0,0,0,100,96,0,0,20
2132067,0,0,0,0,0,90,92,0,0,7.9
2132047,0,0,0,0,0,100,100,0,0,7.9
2130369,0,0,0,0,0,100,100,0,0,7.9
2132045,0,0,0,0,0,90,96,0,0,7.9
2127128,100,100,0,0,0,100,92,0,0,7.9
2130034,5,70,0,0,0,90,100,0,0,20
2130346,0,0,0,0,0,80,96,0,0,20
2130037,0,0,0,0,0,100,96,0,0,7.43
2124062,0,0,0,0,0,90,96,0,0,20
2132036,0,0,0,0,0,90,96,0,0,20
2122656,0,0,0,0,0,80,96,0,0,7.83
2122643,0,0,0,0,0,100,100,0,0,20
2132038,55,0,0,0,0,100,88,0,0,20
2124627,0,0,0,0,0,100,92,0,0,20
2130744,0,0,0,0,0,0,96.15,0,20,20
2128738,0,0,0,0,0,0,96.15,0,20,20
2126646,0,0,0,0,0,0,84.62,0,20,20
2128244,0,0,0,0,0,0,96.15,0,20,20
2036770,0,0,0,0,0,0,96.15,0,20,20
2115838,0,0,0,0,0,0,92.3,0,20,20
2132065,0,0,0,0,0,0,100,0,20,20
2128732,0,0,0,0,0,0,88.46,0,20,20
2129848,0,0,0,0,0,0,96.15,0,20,20
2130382,0,0,0,0,0,0,84.62,0,20,20
2127148,0,0,0,0,0,0,100,0,20,20
2127461,0,0,0,0,0,0,96.15,0,20,20
2130339,0,0,0,0,0,0,100,0,20,20
2130393,0,0,0,0,0,0,96.15,0,20,20
2130388,0,0,0,0,0,0,0,0,0,0
2125235,0,0,0,0,0,0,96.15,0,20,20
2130342,0,0,0,0,0,0,88.46,0,20,20
2130344,0,0,0,0,0,0,92.31,0,20,20
2123928,0,0,0,0,0,0,100,0,20,20
2130736,0,0,0,0,0,0,92.31,0,20,20
2125227,85,0,0,80,0,0,0,7.920,0,0
2131716,70,0,0,80,0,0,0,7.920,0,0
2123635,0,0,0,0,0,0,0,7.920,0,0
2129844,0,0,0,90,0,0,0,7.88,0,0
2023785,0,0,0,100,0,0,0,7.92,0,0
2112459,0,0,0,80,0,0,0,7.66,0,0
2125233,0,0,0,80,0,0,0,7.92,0,0
2131729,0,0,0,80,0,0,0,7.92,0,0
2123741,0,0,0,80,0,0,0,7.92,0,0
2127470,0,0,0,100,0,0,0,7.66,0,0
2126641,60,0,0,90,0,0,0,7.92,0,0
2131725,0,0,0,100,0,0,0,7.92,0,0
2130360,0,0,0,80,0,0,0,20,0,0
2130370,0,0,0,0,0,0,0,0,0,0
2130366,0,0,0,90,0,0,0,20,0,0
2130350,0,0,0,90,0,0,0,7.72,0,0
2129211,30,0,0,100,0,0,0,7.72,0,0
2127140,0,0,0,100,0,0,0,20,0,0
2127145,80,0,0,80,0,0,0,7.66,0,0
2132951,0,0,0,100,0,0,0,20,0,0
2129809,0,0,0,100,0,0,0,7.9,0,0
2129064,0,0,0,90,0,0,0,20,0,0
2124946,0,0,0,80,0,0,0,20,0,0
2130745,0,0,0,100,0,0,0,20,0,0
2130363,0,0,0,80,0,0,0,20,0,0
2096881,0,0,0,100,0,0,0,20,0,0
2129076,0,0,0,100,0,0,0,20,0,0
2129847,0,0,0,100,0,0,0,7.83,0,0
2116353,0,0,0,100,0,0,0,20,0,0
2130751,0,0,0,80,0,0,0,20,0,0
2129845,0,0,0,100,0,0,0,20,0,0
2129221,0,0,0,80,0,0,0,20,0,0
2127512,0,0,0,90,0,0,0,20,0,0
2128747,0,0,0,100,0,0,0,20,0,0
2130362,0,0,0,100,0,0,0,20,0,0
2129971,0,0,0,0,0,0,0,0,0,0
2130387,0,0,0,0,0,0,0,4.17,0,0
2130735,0,0,0,90,0,0,0,20,0,0
2132746,0,0,0,80,0,0,0,20,0,0
2132932,0,0,0,100,0,0,0,7,0,0
