Oracle ID,QA Score 1,QA Score 2,QA Score 3,Assessment Score 1,Assessment Score 2,Assessment Score 3,Final Assessment,Attendance Day 1,Attendance Day 2,Attendance Day 3,
2125227,0,30,0,0,100,0,0,0,20,0,
2131716,0,90,0,0,100,0,0,0,20,0,
2123635,0,40,0,0,90,0,0,0,20,0,
2129844,0,60,0,0,90,0,0,0,20,0,
2023785,0,100,0,0,90,0,0,0,20,0,
2112459,0,55,0,0,100,0,0,0,20,0,
2125233,0,60,0,0,90,0,0,0,20,0,
2131729,0,65,0,0,80,0,0,0,20,0,
2123741,0,85,0,0,80,0,0,0,7.92,0,
2127470,0,85,0,0,100,0,0,0,20,0,
2126641,0,100,0,0,90,0,0,0,20,0,
2131725,0,95,0,0,90,0,0,0,20,0,
2130360,0,100,0,0,100,0,0,0,20,0,
2130370,0,0,0,0,0,0,0,0,20,0,
2130366,0,0,0,0,0,0,0,0,0,0,
2130350,0,25,0,0,90,0,0,0,20,0,
2129211,0,70,0,0,90,0,0,0,20,0,
2127140,0,100,0,0,100,0,0,0,20,0,
2127145,0,70,0,0,90,0,0,0,20,0,
2132951,0,80,0,0,90,0,0,0,20,0,
2129809,0,0,55,0,0,90,0,0,0,20,
2129064,0,0,85,0,0,90,0,0,0,20,
2124946,0,0,70,0,0,90,0,0,0,20,
2130745,0,0,70,0,0,80,0,0,0,20,
2130363,0,0,65,0,0,100,0,0,0,20,
2096881,0,0,5,0,0,100,0,0,0,20,
2129076,0,0,100,0,0,100,0,0,0,20,
2129847,0,0,100,0,0,90,0,0,0,20,
2116353,0,0,70,0,0,90,0,0,0,20,
2130751,0,0,85,0,0,100,0,0,0,20,
2129845,0,0,85,0,0,90,0,0,0,20,
2129221,0,0,100,0,0,80,0,0,0,20,
2127512,0,0,100,0,0,90,0,0,0,20,
2128747,0,0,85,0,0,90,0,0,0,20,
2130362,0,0,65,0,0,100,0,0,0,20,
2129971,0,0,0,0,0,0,0,0,0,0,
2130387,0,0,0,0,0,0,0,0,0,0,
2130735,0,0,5,0,0,100,0,0,0,20,
2132746,0,0,100,0,0,80,0,0,0,7.83,
2132932,0,0,80,0,0,90,0,0,0,20,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
