Oracle ID,QA Score 1,QA Score 2,QA Score 3,Assessment Score 1,Assessment Score 2,Assessment Score 3,Final Assessment,Attendance Day 1,Attendance Day 2,Attendance Day 3,Attendance Day 4,QA Score 4
2131733,0,0,90,0,0,100,0,0,0,20,0,0
2110019,0,0,100,0,0,90,0,0,0,20,0,0
2131715,0,0,100,0,0,90,0,0,0,20,0,0
2128245,0,0,5,0,0,90,0,0,0,20,0,0
2126106,0,0,90,0,0,100,0,0,0,20,0,0
2129319,0,0,100,0,0,100,0,0,0,20,0,0
2122301,0,0,70,0,0,90,0,0,0,20,0,0
2124591,0,0,55,0,0,100,0,0,0,20,0,0
2127138,0,0,100,0,0,90,0,0,0,20,0,0
2107365,0,0,100,0,0,90,0,0,0,7.83,0,0
2127754,0,0,100,0,0,90,0,0,0,20,0,0
2131728,0,0,100,0,0,100,0,0,0,20,0,0
2131720,0,0,80,0,0,80,0,0,0,20,0,0
2130733,0,0,100,0,0,100,0,0,0,7.83,0,0
2113375,0,0,100,0,0,100,0,0,0,20,0,0
2098658,0,0,100,0,0,100,0,0,0,20,0,0
2110060,0,0,85,0,0,100,0,0,0,20,0,0
2122662,0,0,100,0,0,100,0,0,0,20,0,0
2130739,0,0,100,0,0,100,0,0,0,20,0,0
2123660,0,0,100,0,0,100,0,0,0,7.833,0,0
2127144,0,0,50,0,0,100,0,0,0,7.6,0,0
2130742,0,0,100,0,0,100,0,0,0,20,0,0
2114484,0,0,95,0,0,100,0,0,0,0,0,0
2132428,0,0,100,0,0,90,0,0,0,20,0,0
2126226,0,0,100,0,0,90,0,0,0,20,0,0
2122622,0,0,100,0,0,100,0,0,0,20,0,0
2130746,0,0,85,0,0,100,0,0,0,20,0,0
2127474,0,0,100,0,0,100,0,0,0,7.833,0,0
2126645,0,0,100,0,0,100,0,0,0,20,0,0
2119420,0,0,85,0,0,90,0,0,0,20,0,0
2122612,0,0,45,0,0,90,0,0,0,20,0,0
2044080,0,0,100,0,0,100,0,0,0,20,0,0
2117801,0,0,95,0,0,90,0,0,0,20,0,0
2122294,0,0,95,0,0,100,0,0,0,5.33,0,0
2132497,0,0,100,0,0,100,0,0,0,20,0,0
