DELIVERY SCHEDULE,Month Code,,TERM,STANDARD RATE,Other,3 Days
MON-SUN,AgeMon-SunMonthDD,$44.00,AgeMon-SunStndrdNEW,$528.00,7 Days,0
MON-SAT,AgeMon-SatMonthDD,$40.00,AgeMon-SatStndrdNEW,$480.00,6 Days,0
MON-FRI,AgeMon-FriMonthDD,$37.00,AgeMon-FriStndrdNEW,$444.00,5 Days,0
ANY 4 DAYS DELIVERY,AgeDay-DayMonthDD,$36.00,AgeDay-DayStndrdNEW,$432.00,4 Days,0
ANY DAY + WEEKEND,AgeDay+WkndMonthDD,$31.00,AgeWeekendStndDDNEW,$372.00,3 Days,0
WEEKEND,AgeWeekendMonthDD,$25.00,AgeWeekendStndrdNEW,$300.00,2 Days,0
SATURDAY,AgeSaturdayMonthDD,$13.60,AgeSaturdayStndrdNEW,$163.20,,0
SUNDAY,AgeSundayMonthDD,$11.40,AgeSundayStndrdNEW,$136.80,,0
MoTueWed,AgeMonTueWedMonthDD,$ 31.00,AgeMonTueWedStandard,$ 372.00,,1
MoTueThu,AgeMonTueThuMonthDD,$ 31.00,AgeMonTueThuStandard,$ 372.00,,1
MoTueFri,AgeMonTueFriMonthDD,$ 31.00,AgeMonTueFriStandard,$ 372.00,,1
MoTueSat,AgeMonTueSatMonthDD,$ 31.00,AgeMonTueSatStandard,$ 372.00,,1
MoTueSun,AgeMonTueSunMonthDD,$ 31.00,AgeMonTueSunStandard,$ 372.00,,1
TuWedThu,AgeTueWedThuMonthDD,$ 31.00,AgeTueWedThuStandard,$ 372.00,,1
TuWedFri,AgeTueWedFriMonthDD,$ 31.00,AgeTueWedFriStandard,$ 372.00,,1
TuWedSat,AgeTueWedSatMonthDD,$ 31.00,AgeTueWedSatStandard,$ 372.00,,1
TuWedSun,AgeTueWedSunMonthDD,$ 31.00,AgeTueWedSunStandard,$ 372.00,,1
WeThuFri,AgeWedThuFriMonthDD,$ 31.00,AgeWedThuFriStandard,$ 372.00,,1
WeThuSat,AgeWedThuSatMonthDD,$ 31.00,AgeWedThuSatStandard,$ 372.00,,1
WeThuSun,AgeWedThuSunMonthDD,$ 31.00,AgeWedThuSunStandard,$ 372.00,,1
ThFriSat,AgeThuFriSatMonthDD,$ 31.00,AgeThuFriSatStandard,$ 372.00,,1
ThFriSun,AgeThuFriSunMonthDD,$ 31.00,AgeThuFriSunStandard,$ 372.00,,1
